Alcohol,Tono,Vinos Diluídos,Clase
14.23,1.04,1065,0
13.2,1.05,1050,0
13.16,1.03,1185,0
14.37,0.86,1480,0
13.24,1.04,735,0
14.2,1.05,1450,0
14.39,1.02,1290,0
14.06,1.06,1295,0
14.83,1.08,1045,0
13.86,1.01,1045,0
13.77,1.02,1320,1
13.02,1.03,1125,1
12.43,1.04,1235,1
13.67,1.01,1250,1
12.45,0.94,1010,1
13.33,0.92,1230,1
13.21,0.98,1180,1
13.12,1.05,1140,1
12.85,1.07,1220,1
12.75,1.08,1205,1
12.54,1.07,1250,2
12.6,1.08,1280,2
12.81,1.07,1265,2
12.91,1.05,1290,2
12.7,1.08,1255,2
13.05,1.1,1300,2
12.95,1.08,1270,2
13.02,1.07,1295,2
